"id","city_name","latitude","longitude","timestamp","curr_temperature"
3,Salt Lake City,40.400000,-111.850500,"2025-01-08 23:06:48",29.9
4,Salt Lake City,40.400000,-111.850500,"2025-01-08 23:49:13",29.8
5,Salt Lake City,40.400000,-111.850500,"2025-01-09 00:18:04",29.6
6,Kamas,40.640216,-111.280745,"2025-01-09 00:18:05",15.5
7,Mirror Lake,40.701123,-110.887579,"2025-01-09 00:18:06",6.5
8,Lucin,41.346238,-113.905283,"2025-01-09 00:18:06",25.9
9,Brian Head,37.692681,-112.850196,"2025-01-09 00:18:07",14.3
10,Salt Lake City,40.400000,-111.850500,"2025-01-09 00:18:35",29.6
11,Kamas,40.640216,-111.280745,"2025-01-09 00:18:36",15.5
12,Mirror Lake,40.701123,-110.887579,"2025-01-09 00:18:36",6.5
13,Lucin,41.346238,-113.905283,"2025-01-09 00:18:37",25.9
14,Brian Head,37.692681,-112.850196,"2025-01-09 00:18:38",14.3
15,Salt Lake City,40.400000,-111.850500,"2025-01-09 00:40:35",29.4
16,Kamas,40.640216,-111.280745,"2025-01-09 00:40:36",15.1
17,Mirror Lake,40.701123,-110.887579,"2025-01-09 00:40:36",6.3
18,Lucin,41.346238,-113.905283,"2025-01-09 00:40:37",25.9
19,Brian Head,37.692681,-112.850196,"2025-01-09 00:40:38",13.6
20,Salt Lake City,40.400000,-111.850500,"2025-01-09 00:49:29",29.1
21,Kamas,40.640216,-111.280745,"2025-01-09 00:49:30",14.8
22,Mirror Lake,40.701123,-110.887579,"2025-01-09 00:49:31",5.7
23,Lucin,41.346238,-113.905283,"2025-01-09 00:49:31",26.0
24,Brian Head,37.692681,-112.850196,"2025-01-09 00:49:32",12.5
25,Salt Lake City,40.400000,-111.850500,"2025-01-09 00:52:50",29.1
26,Kamas,40.640216,-111.280745,"2025-01-09 00:52:50",14.8
27,Mirror Lake,40.701123,-110.887579,"2025-01-09 00:52:51",5.7
28,Lucin,41.346238,-113.905283,"2025-01-09 00:52:52",26.0
29,Brian Head,37.692681,-112.850196,"2025-01-09 00:52:52",12.5
30,Salt Lake City,40.400000,-111.850500,"2025-01-09 01:01:03",28.4
31,Kamas,40.640216,-111.280745,"2025-01-09 01:01:04",14.1
32,Mirror Lake,40.701123,-110.887579,"2025-01-09 01:01:05",5.6
33,Lucin,41.346238,-113.905283,"2025-01-09 01:01:05",25.9
34,Brian Head,37.692681,-112.850196,"2025-01-09 01:01:06",12.1
35,Salt Lake City,40.400000,-111.850500,"2025-01-09 01:04:23",28.4
36,Kamas,40.640216,-111.280745,"2025-01-09 01:04:23",14.1
37,Mirror Lake,40.701123,-110.887579,"2025-01-09 01:04:24",5.6
38,Lucin,41.346238,-113.905283,"2025-01-09 01:04:25",25.9
39,Brian Head,37.692681,-112.850196,"2025-01-09 01:04:25",12.1
40,Salt Lake City,40.400000,-111.850500,"2025-01-09 01:08:59",28.4
41,Kamas,40.640216,-111.280745,"2025-01-09 01:09:00",14.1
42,Mirror Lake,40.701123,-110.887579,"2025-01-09 01:09:00",5.6
43,Lucin,41.346238,-113.905283,"2025-01-09 01:09:01",25.9
44,Brian Head,37.692681,-112.850196,"2025-01-09 01:09:01",12.1
45,Salt Lake City,40.400000,-111.850500,"2025-01-09 01:49:41",27.2
46,Kamas,40.640216,-111.280745,"2025-01-09 01:49:42",13.5
47,Mirror Lake,40.701123,-110.887579,"2025-01-09 01:49:43",3.6
48,Lucin,41.346238,-113.905283,"2025-01-09 01:49:43",26.0
49,Brian Head,37.692681,-112.850196,"2025-01-09 01:49:44",9.7
50,Salt Lake City,40.400000,-111.850500,"2025-01-09 02:07:43",27.5
51,Kamas,40.640216,-111.280745,"2025-01-09 02:07:44",12.9
52,Mirror Lake,40.701123,-110.887579,"2025-01-09 02:07:44",3.4
53,Lucin,41.346238,-113.905283,"2025-01-09 02:07:45",26.1
54,Brian Head,37.692681,-112.850196,"2025-01-09 02:07:46",9.2
55,Salt Lake City,40.400000,-111.850500,"2025-01-09 02:55:36",28.0
56,Kamas,40.640216,-111.280745,"2025-01-09 02:55:37",14.6
57,Mirror Lake,40.701123,-110.887579,"2025-01-09 02:55:38",3.8
58,Lucin,41.346238,-113.905283,"2025-01-09 02:55:39",25.9
59,Brian Head,37.692681,-112.850196,"2025-01-09 02:55:39",9.1
60,Salt Lake City,40.400000,-111.850500,"2025-01-09 02:56:40",28.0
61,Kamas,40.640216,-111.280745,"2025-01-09 02:56:41",14.6
62,Mirror Lake,40.701123,-110.887579,"2025-01-09 02:56:42",3.8
